cafe_name,location_name,full_address,main_food,like,image
테일러커피 연남1호점,홍대,서울특별시 마포구 연남동 224-41,"아메리카노, 플랫화이트, 카페",367,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403213814_photo2_d91612ad5865.jpg
피오니,홍대,서울특별시 마포구 서교동 408-8,"딸기케이크, 케이크, 카페",1159,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210324022101_photo2_c6208bdda351.jpg
빌리프커피,홍대,서울특별시 마포구 서교동 384-3,"아메리카노, 마카롱, 카페",363,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210404095207768_photo_69a4d315d09f.jpg
콜린,홍대,서울특별시 마포구 서교동 403-13,"아이스아메리카노, 아메리카노, 카페",180,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201205015459_photo1_f7b7bc9f7ef0.jpg
앤트러사이트 합정점,홍대,서울특별시 마포구 합정동 357-6,"아메리카노, 밀크티, 카페",348,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201010060728646_photo_QvSh2H8G0oAe.jpg
듀윗,홍대,서울특별시 마포구 연남동 260-14,"아메리카노, 몽블랑, 카페",163,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200830050124_photo1_7ccd534b22d5.jpg
달콤한 거짓말,홍대,서울시 마포구 상수동 317-11,"케이크, 망고빙수, 카페",234,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200501091815940_photo_312eead77f96.jpg
버터밀크,홍대,서울특별시 마포구 창전동 6-131,"팬케이크, 팬케익, 브런치카페",115,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210301122433_photo0_RPnXqMxh2Wno.jpg
사르르,홍대,서울특별시 마포구 연남동 260-25,"팬케이크, 아메리카노, 카페",235,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200713085052453_photo_9ea905994d0e.jpg
테일러커피,홍대,서울특별시 마포구 서교동 329-15,"크림모카, 아메리카노, 카페",240,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210122095551_photo1_b75f17b77f41.jpg
시간의 공기,홍대,서울특별시 마포구 합정동 354-3,"까눌레, 밀크티, 카페",186,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201019021647_photo1_oB7Vhsap7vlD.jpg
밤부카페,홍대,서울특별시 마포구 합정동 386-11,"크로와상, 아메리카노, 카페",94,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200811164852_photo1_0UoOZNlTenDO.jpg
그레고리,홍대,서울특별시 마포구 합정동 410-11,"밀푀유, 아메리카노, 카페",82,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201123120746_photo1_a55f467e3889.jpg
연남살롱,홍대,서울시 마포구 연남동 561-59,"밀크티빙수, 커피빙수, 카페",127,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200808214812_photo1_7cadc6174a28.jpg
커피리브레,홍대,서울특별시 마포구 연남동 227-15,"아메리카노, 카페라떼, 카페",176,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210125115719_photo1_77513f8dd560.jpg
이미,홍대,서울시 마포구 동교동 201-10,"오렌지빙수, 몽블랑, 카페",55,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200815161213_photo0_7lpiQI1bUt0j.jpg
얼스어스,홍대,서울특별시 마포구 연남동 239-49,"케이크, 아메리카노, 카페",28,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210322073312922_photo_9ea905994d0e.jpg
허밍벨라,홍대,서울특별시 마포구 서교동 395-199,"아메리카노, 크로아상, 이색카페",284,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201106101736_photo1_62ccb631c61d.jpg
빈브라더스,홍대,서울특별시 마포구 합정동 368-3,"아메리카노, 카페, 북카페",98,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200701124835_photo1_b2943ef9b91e.jpg
카페 하이웨스트,홍대,서울특별시 마포구 연남동 223-80,"아메리카노, 카페라떼, 카페",54,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200922102933305_photo_800334b0bbec.jpg
그레이랩,홍대,서울특별시 마포구 합정동 367-9,"카페라떼, 밀크티, 카페",45,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210417112731_photo2_14630a8a7d97.jpg
더페이머스램,홍대,서울특별시 마포구 서교동 447-7,"아메리카노, 크러핀, 브런치카페",75,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200606195502_photo1_9e86fb8d20ea.jpg
몰리스팝스,홍대,서울특별시 마포구 서교동 332-20,"아이스크림, 수제아이스크림, 카페",112,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20191106073827_photo1_8RsIGJF5J4x0.jpg
무대륙,홍대,서울특별시 마포구 합정동 357-7,"아이스초코, 카페",45,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210112084948952_photo_bTNflp2jT6Rz.jpg
17도씨,홍대,서울특별시 마포구 연남동 257-21,"소프트아이스크림, 초콜릿카페, 카페",118,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200726055832120_photo_714b8e25c93f.jpg
안녕낯선사람,홍대,서울특별시 마포구 서교동 398-9,"베트남커피, 카페, 카페라떼",117,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210402092338_photo3_63dcc316c40f.jpg
타이거슈가 홍대본점,홍대,서울특별시 마포구 서교동 346-43,"흑당버블티, 밀크티, 카페",0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201108013350_photo1_e310af3365cc.jpg
포비 베이직,홍대,서울특별시 마포구 합정동 426-18,"베이글, 아메리카노, 카페",12,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210314124007645_photo_c10fa390751e.jpg
콜마인,홍대,서울특별시 마포구 서교동 373-5,"아메리카노, 카페, 카페라떼",73,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201223061151_photo1_6b19a427bb94.jpg
테일러커피,홍대,서울특별시 마포구 서교동 338-1 2층,"크림모카, 아이스아메리카노, 카페",13,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200531020807994_photo_febb7f765559.jpg
패션파이브,이태원,서울특별시 용산구 한남동 729-74,"푸딩, 에끌레어, 카페",789,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210411053244312_photo_VEafuBttIPoZ.jpg
더베이커스테이블,이태원,서울특별시 용산구 이태원동 691,"파니니, 토마토스프, 브런치카페",470,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210327105536_photo3_a5c588dcba33.jpg
울프소셜클럽,이태원,서울특별시 용산구 한남동 795-2,"밀크티, 애플파이, 카페",46,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210208074625253_photo_ae9ee822d767.jpg
