restaurant_name,location_name,full_address,main_food,like,image
소이연남 본점,홍대,서울특별시 마포구 연남동 229-67 1층,"소고기국수, 뽀삐아",1708,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210316080306_photo01_febb7f765559.jpg
오레노라멘,홍대,서울특별시 마포구 합정동 361-1,"시오라멘, 쇼유라멘",265,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210417074253_photo1_6da16a2d49be.jpg
우동 카덴,홍대,서울특별시 마포구 서교동 391-5,"붓카케우동, 에비마요",1136,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201124022428_photo1_6ecc061b92b7.jpg
윤씨밀방,홍대,서울특별시 마포구 서교동 411-6,"함박스테이크, 투움바파스타",2126,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210207123212_photo1_71e456e3394c.jpg
또보겠지떡볶이,홍대,서울특별시 마포구 동교동 153-3,"버터갈릭감자튀김, 떡볶이",103,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210328125325_photo2_619d0e463c75.jpg
옥동식,홍대,서울특별시 마포구 서교동 385-6,"돼지곰탕, 돼지국밥",325,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210330084841_photo1_5b502b20f463.jpg
라멘트럭,홍대,서울특별시 마포구 상수동 328-7,"라멘, 냉라멘",596,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210317023818456_photo_586ced7692a5.jpg
잇텐고,홍대,서울특별시 마포구 합정동 396-14,"바질라멘, 차슈동",433,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210202014903423_photo_AHrerzb52XzP.jpg
테일러커피 연남1호점,홍대,서울특별시 마포구 연남동 224-41,"아메리카노, 플랫화이트",367,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403213814_photo2_d91612ad5865.jpg
맛이차이나,홍대,서울특별시 마포구 상수동 321-1 2층,"탕수육, 짜장면",637,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210325151322_photo1_0UoOZNlTenDO.jpg
크레이지카츠,홍대,서울특별시 마포구 합정동 391-5,"히레카츠, 로스카츠",189,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210409053636_photo2_sDx6WTa5eIa7.jpg
피오니,홍대,서울특별시 마포구 서교동 408-8,"딸기케이크, 케이크",1159,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210324022101_photo2_c6208bdda351.jpg
아이엠어버거,홍대,서울특별시 마포구 창전동 5-78,"쉬림프버거, 햄버거",641,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210405064126_photo1_mm1F5kOrpCVI.jpg
바다회사랑 연남본점,홍대,서울특별시 마포구 연남동 566-8,"방어회, 대방어",543,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210309123808070_photo_ef7c729d4a83.jpg
프리모 바치오바치 홍대본점,홍대,서울특별시 마포구 서교동 346-47 2층,"빠네, 그라탕",730,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200711105454_photo1_3ffaa7b0514c.jpg
무라 1호점,홍대,서울특별시 마포구 서교동 411-15,"냉라멘, 연어덮밥",609,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210306054947_photo4_XLfDdxht9OvI.jpg
뭄알로이,홍대,서울특별시 마포구 상수동 93-113 2층,"팟타이, 팟카파오무쌉",744,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201009044345_photo1_62c081cde8e0.jpg
하카타분코 본점,홍대,서울특별시 마포구 상수동 93-28,"차슈덮밥, 라멘",931,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210409111639326_photo_c845dff72267.jpg
감성타코,홍대,서울특별시 마포구 서교동 358-121,"파히타, 퀘사디아",252,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210406052932_photo1_b69042a34009.jpg
이치류 홍대본점,홍대,서울특별시 마포구 서교동 395-124,"양갈비, 살치살",510,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201026084819_photo1_m2CBrnlDIdU1.jpg
미담진족,홍대,서울특별시 마포구 서교동 395-20,"오향족발, 보쌈",882,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200619033749030_photo_280c89904ae1.jpg
감나무집 기사식당,홍대,서울특별시 마포구 연남동 515-19,"돼지불백, 생선구이",627,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210328091855991_photo_rLWyGnzqKeAW.jpg
감칠,홍대,서울특별시 마포구 연남동 385-6,"크림파스타, 크림리조또",599,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210307033202750_photo_ef34654d852f.jpg
빌리프커피,홍대,서울특별시 마포구 서교동 384-3,"아메리카노, 마카롱",363,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210404095207768_photo_69a4d315d09f.jpg
아오이토리,홍대,서울특별시 마포구 서교동 327-17,"야끼소바빵, 메론빵",427,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210418222722_photo1_a55f467e3889.jpg
소년식당,홍대,서울특별시 마포구 서교동 333-11,"간장새우덮밥, 간장새우밥",416,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210325024316912_photo_4e2ac52b2b6d.jpg
독립카츠,홍대,서울특별시 마포구 연남동 566-56,"돈카츠, 돈까스",223,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403111227_photo1_311c7d2da747.jpg
교다이야,홍대,서울특별시 마포구 합정동 370-8,"붓카케우동, 우동정식",362,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210124024827908_photo_3dcd82ae0d0e.jpg
경주식당,홍대,서울특별시 마포구 상수동 314-10,된장찌개,342,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210401024802_photo6_5f8bf8c89926.jpg
진진,홍대,서울특별시 마포구 서교동 469-67,"멘보샤, 어향가지",548,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210228013505_photo1_abebb0d05210.jpg
보니스피자펍,이태원,서울특별시 용산구 용산동2가 44-19,"하와이안피자, 페퍼로니",509,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210416235043_photo1_Bi8rFB0wZ5Ro.jpg
다운타우너 한남점,이태원,서울특별시 용산구 한남동 683-63,"아보카도버거, 프라이즈",1053,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210323113301698_photo_7a8b75f6c653.jpg
바토스 이태원점,이태원,서울특별시 용산구 이태원동 181-8 2층,"타코, 프라이즈",1051,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210401081109_photo1_6hMHHv3fyi9G.jpg
쟈니덤플링 본점,이태원,서울특별시 용산구 이태원동 130-3,"군만두, 새우물만두",1107,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210309053007_photo1_ikgUtYOtVden.jpg
라이너스바베큐,이태원,서울특별시 용산구 이태원동 56-20,"플래터, 바베큐",1878,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210402143852_photo0_r5lzDffyJM9J.jpg
패션파이브,이태원,서울특별시 용산구 한남동 729-74,"푸딩, 에끌레어",789,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210411053244312_photo_VEafuBttIPoZ.jpg
부자피자 1호점,이태원,서울특별시 용산구 한남동 743-33,"깔조네, 피자",944,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210207093604917_photo_e60ebba31261.jpg
매덕스피자,이태원,서울특별시 용산구 이태원동 129-9 2층,"치즈피자, 하와이안피자",360,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210418062829_photo2_b6cd53e8edbb.jpg
라페름,이태원,서울특별시 용산구 한남동 683-8,"치킨스테이크, 아보카도샐러드",317,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403090837024_photo_hkRAhLEW5gil.jpg
모터시티,이태원,서울특별시 용산구 이태원동 56-30,"감자튀김, 피자",262,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201115060117498_photo_969185507250.jpg
비스테까,이태원,서울특별시 용산구 이태원동 211-33,티라미수,647,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210218121003_photo1_249bf04e1ef3.jpg
자리,이태원,서울특별시 용산구 한남동 682-22,"목화솜탕수육, 짬뽕",509,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201020054806_photo1_323a76da8d76.jpg
레호이,이태원,서울특별시 용산구 이태원동 261-9 1층,"반미, 쌀국수",561,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200809021452249_photo_9552d18ab8ae.jpg
더베이커스테이블,이태원,서울특별시 용산구 이태원동 691,"파니니, 토마토스프",470,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210327105536_photo3_a5c588dcba33.jpg
앤트러사이트 한남점,이태원,서울특별시 용산구 한남동 683-142,"아메리카노, 카페라떼",247,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210208081823_photo3_7ec459740b53.jpg
쿠촐로 오스테리아,이태원,서울특별시 용산구 용산동2가 45-13,"파스타, 카르파치오",332,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201004014213_photo1_3ffaa7b0514c.jpg
바다식당,이태원,서울특별시 용산구 한남동 743-7,"존슨탕, 소시지",897,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210227073508842_photo_5f0671f2e657.jpg
아가리코,이태원,서울특별시 용산구 이태원동 118-3 지층,"스테이크, 와인",324,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200809122336245_photo_c10fa390751e.jpg
마렘마,이태원,서울특별시 용산구 한남동 739-17,"밀크리조또, 스테이크",366,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200624081308124_photo_7a8b75f6c653.jpg
브라이 리퍼블릭,이태원,서울특별시 용산구 이태원동 63-4,플래터,181,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201115101654_photo1_VQqJSCTzFQ7q.jpg
스모키살룬 본점,이태원,서울특별시 용산구 이태원동 123-5,"햄버거, 수제버거",417,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200228043827_photo1_1672bb65d898.jpg
더버뮤다,이태원,서울특별시 용산구 이태원동 34-50,"명란파스타, 명란크림파스타",329,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200216125601272_photo_5ad86b50a6d2.jpg
울프소셜클럽,이태원,서울특별시 용산구 한남동 795-2,"밀크티, 애플파이",46,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210208074625253_photo_ae9ee822d767.jpg
키에리,이태원,서울특별시 용산구 이태원동 73-7,"치즈케이크, 케이크",139,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210330081712524_photo_37610b21c74e.jpg
타파스바,이태원,서울시 용산구 이태원동 119-28번지 1층,"샹그리아, 감바스",189,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210409085114_photo2_4fc94619a0e2.jpg
라운드어바웃 한남점,이태원,서울특별시 용산구 한남동 739-4,오므라이스,434,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210225035815_photo1_128bd3420a2c.jpg
코레아노스 키친 녹사평점,이태원,서울특별시 용산구 이태원동 457-3,"플래터, 퀘사디아",138,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200812035420_photo1_c1a6ec17e68a.jpg
빠르크,이태원,서울특별시 용산구 한남동 743-1 2층,"송이구이, 한식",286,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200320100053271_photo_280c89904ae1.jpg
지노스뉴욕피자,이태원,서울특별시 용산구 이태원동 457-3 2층,페퍼로니,162,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200320102926927_photo_b6d933565ac3.jpg
부자피자 2호점,이태원,서울특별시 용산구 한남동 740-1,"피자, 마르게리따",247,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210207095539807_photo_e60ebba31261.jpg
브루클린더버거조인트,가로수길,서울특별시 강남구 신사동 540-11,"치즈버거, 버거",805,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210227020718_photo1_nfwAsCeu1MZx.jpg
쮸즈,가로수길,서울특별시 강남구 신사동 540-4,"소룡포, 탄탄면",636,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210322101243_photo3_e5ca9fb9c466.jpg
미미면가,가로수길,서울시 강남구 신사동 512-21 지하1층,"냉소바, 온소바",430,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210404083718838_photo_3dcd82ae0d0e.jpg
목포집,가로수길,서울특별시 강남구 신사동 514-3,"닭볶음탕, 닭도리탕",534,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210403113604_photo1_d46c1ef4629e.jpg
한추,가로수길,서울특별시 강남구 신사동 549-9,"고추튀김, 떡볶이",477,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210417103938_photo1_4f29965b2826.jpg
C27,가로수길,서울특별시 강남구 신사동 545-12,"치즈케이크, 아이스아메리카노",659,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201104120315718_photo_4e25a1bf375c.jpg
배드파머스,가로수길,서울특별시 강남구 신사동 523-21,샌드위치,728,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200330124319_photo03_681d7cf9a94f.jpg
김수사,가로수길,서울특별시 강남구 논현동 4-19 혜정빌딩 1층,스시오마카세,548,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210128032459050_photo_958b27cde044.jpg
네기 다이닝라운지,가로수길,서울특별시 강남구 신사동 540-19,"마구로, 사시미모리아와세",328,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200301040920_photo1_885a44729544.jpg
에머이 가로수길점,가로수길,서울특별시 강남구 신사동 540-22,"쌀국수, 양지쌀국수",258,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210207010753_photo1_JNKBfw5EbtCx.jpg
베러댄비프,가로수길,서울특별시 강남구 신사동 514-9,"삼겹살, 막걸리",900,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210118094220_photo1_616743bf2b15.jpg
