activity_name,location_feature,hotplace
남산야외식물원,"식물원,수목원",이태원
경리단길,도보코스,이태원
이태원퀴논길,문화거리,이태원
이태원앤틱가구거리,"거리,골목",이태원
회나무길,먹자거리,이태원
가로수길,"거리,골목",가로수길
시몬느 핸드백 박물관,박물관,가로수길
논현은행나무공원,근린공원,가로수길
신사동화랑거리,문화거리,가로수길
올드스토리뮤지엄,박물관,가로수길
경의선숲길,"거리,골목",연남동
경의선숲길공원,근린공원,연남동
챕터투,전시관,연남동
드라마[태양의후예]촬영지,촬영장소,연남동
CR Collective,전시관,연남동
롯데월드,테마파크,잠실
롯데월드 아쿠아리움,아쿠아리움,잠실
올림픽공원,"도시,테마공원",잠실
석촌호수,"호수,연못,저수지",잠실
서울스카이 (제2롯데월드),전망대,잠실
피규어뮤지엄w,박물관,청담
청담동명품거리,"거리,골목",청담
청담근린공원,근린공원,청담
에스파스 루이 비통 서울,미술관,청담
안세병원사거리,"거리,골목",청담
가로수길,"거리,골목",압구정
K현대미술관,미술관,압구정
도산공원,테마공원,압구정
압구정로데오거리,"거리,골목",압구정
시몬느 핸드백 박물관,박물관,압구정
절두산순교성지,"유적지,사적지",합정
양화진역사공원,근린공원,합정
홍대솔내길,"거리,골목",합정
망원정터,기념물,합정
빈칸 합정,전시관,합정
오사이초밥,일식당,건대
우리유황온천,"온천,스파",건대
건대맛의거리,먹자거리,건대
느티나무공원,근린공원,건대
SKT 5GX 라운지,"관람,체험",건대
서울숲,근린공원,성수동
디뮤지엄,미술관,성수동
뚝섬미술관,미술관,성수동
서울숲 곤충식물원,"식물원,수목원",성수동
수도박물관,박물관,성수동
을지로노가리골목,도보코스,을지로
그레뱅뮤지엄,박물관,을지로
청계천헌책방거리,문화거리,을지로
훈련원공원,"도시,테마공원",을지로
을지로골뱅이골목,도보코스,을지로
한남동카페거리,"거리,골목",한남동
이슬람교서울중앙성원,종교,한남동
용산공예관,"관람,체험",한남동
현대카드 스토리지,전시관,한남동
스페이스 신선,미술관,한남동
여의도 한강공원,시민공원,여의도
윤중로벚꽃길,"거리,골목",여의도
아쿠아플라넷63,아쿠아리움,여의도
여의도공원,근린공원,여의도
63아트,전망대,여의도
학동공원,"도시,테마공원",논현동
논현동가구거리,"거리,골목",논현동
플랫폼엘,미술관,논현동
올드스토리뮤지엄,박물관,논현동
논현까치공원,근린공원,논현동
선유도공원,근린공원,영등포
여의도 한강공원,시민공원,영등포
문래창작촌,문화거리,영등포
윤중로벚꽃길,"거리,골목",영등포
아쿠아플라넷63,아쿠아리움,영등포
무학봉근린공원,근린공원,왕십리
왕십리문화공원,근린공원,왕십리
도선마을공원,근린공원,왕십리
꽃재공원,근린공원,왕십리
성동구_1711-02서울유아숲체험장,"관람,체험",왕십리
낙산공원,근린공원,대학로
이화마을,체험마을,대학로
국립어린이과학관,과학관,대학로
대학로,"거리,골목",대학로
흥인지문,기념물,대학로
쌈지길,복합문화공간,인사동
창경궁,궁궐,인사동
인사동문화의거리,문화거리,인사동
다이나믹메이즈 인사동,테마파크,인사동
인사아트프라자,전시관,인사동
국립현대미술관 서울,미술관,삼청동
서울교육박물관,박물관,삼청동
삼청공원,근린공원,삼청동
삼청기차박물관,박물관,삼청동
금호미술관,미술관,삼청동
창덕궁,세계문화유산,광화문
북촌 한옥마을,지역명소,광화문
서울시립미술관,미술관,광화문
경복궁,궁궐,광화문
국립현대미술관 서울,미술관,광화문
청계광장,광장,명동
명동거리,"거리,골목",명동
그레뱅뮤지엄,박물관,명동
우표박물관,박물관,명동
3D블랙아트,"관람,체험",명동
역삼공원,"도시,테마공원",강남역
전통주갤러리,전시관,강남역
강남역푸드트럭존,먹자거리,강남역
강남역거리,문화거리,강남역
역삼까치공원,근린공원,강남역
디큐브시티해바라기공원,근린공원,신도림
안양천체육공원,"도시,테마공원",신도림
구로구어린이교통공원,근린공원,신도림
스팀도서관,"관람,체험",신도림
가을단풍길(도림천길),계절거리,신도림
삼일공원,"도시,테마공원",사당
까치산공원,근린공원,사당
친수공원,근린공원,사당
동작충효길7코스(까치산길),도보코스,사당
동작충효길2코스(현충원길),도보코스,사당
흥인지문,기념물,동대문
한양도성박물관,박물관,동대문
청계천헌책방거리,문화거리,동대문
흥인지문공원,근린공원,동대문
테지움 테디베어 테마파크 서울점,테마파크,동대문
노원문화의거리,문화거리,노원역
상계근린공원,근린공원,노원역
온수근린공원,근린공원,노원역
피노파밀리아,테마파크,노원역
노원이지센터,"관람,체험",노원역
권진규 아틀리에,문화재,성신여대
보문사,불교,성신여대
돈암제일시장,시장,성신여대
낙산공원서울성곽,부속시설,성신여대
대학로,"거리,골목",성신여대
사비나미술관,미술관,연신내
연신내로데오거리,"거리,골목",연신내
제주미목식당,"육류,고기요리",연신내
대조공원,근린공원,연신내
서갈현공원,근린공원,연신내
광나루자전거공원,근린공원,천호
천호동로데오거리,"거리,골목",천호
천호문구완구거리,"거리,골목",천호
천호공원,근린공원,천호
광나루한강공원수영장,수영장,천호
비밀의 화원 미드나잇,방탈출 카페,홍대
비트포비아 던전101,방탈출 카페,홍대
브레이크아웃이스케이프,방탈출 카페,홍대
큐브이스케이프,방탈출 카페,홍대
미스터리룸 이스케이프,방탈출 카페,홍대
