업소 명,자치구 명,업태 명,지도 Y좌표,지도 X좌표,도로명주소
설담재 설렁탕,도봉구,한식,37.654798,127.039142,서울특별시 도봉구 도봉로 562(지상1층 창동)
진주회관,중구,,37.562394,126.974477,서울특별시 중구 세종대로11길 26(서소문동)
두채사랑전주콩나물국밥,중랑구,,37.585186,127.088226,서울특별시 중랑구 면목로 371(1층 면목동)
무교동 낙지나라,중랑구,,37.580387,127.088579,서울특별시 중랑구 면목로 320(면목동)
산골 소한마리 &#38 돼지 정육식당,중랑구,,37.58926,127.087157,서울특별시 중랑구 면목로 417(면목동)
상봉갈비,중랑구,,37.593472,127.086483,서울특별시 중랑구 면목로 466(상봉동)
소우가,중랑구,,37.5785,127.085794,서울특별시 중랑구 면목로 285(면목동)
신선한우촌,중랑구,,37.614281,127.101169,서울특별시 중랑구 용마산로 707(신내동)
오대가마솥순대국,중랑구,,37.593119,127.087495,서울특별시 중랑구 봉우재로 131(1층 상봉동)
이조뼈다귀,중랑구,,37.574085,127.084648,서울특별시 중랑구 면목로 235(면목동)
족발야시장,중랑구,,37.599537,127.078504,서울특별시 중랑구 동일로129길 22(중화동)
홍어천국,중랑구,,37.589656,127.087062,서울특별시 중랑구 면목로 421(2층 면목동)
흥부골숯불돼지왕갈비,중랑구,,37.582276,127.088239,서울특별시 중랑구 면목로 341(면목동1층)
푸주옥 설렁탕도가니탕,양천구,한식,37.510234,126.842966,서울특별시 양천구 남부순환로 663(신정동1층)
주식회사 이춘복참치노원,노원구,일식,37.656173,127.065531,서울특별시 노원구 노해로85길 10-7(상계동1층2층)
김해숙 들마루 순대국,양천구,,37.532985,126.8356,서울특별시 양천구 곰달래로13길 37(1층 신월동)
정동진(삼계탕집),동작구,한식,37.51104,126.944369,서울특별시 동작구 만양로 85(노량진동)
부자돼소,중랑구,뷔페식,37.592657,127.087184,서울특별시 중랑구 봉우재로 126(면목동)
나주관,양천구,,37.525279,126.872533,서울특별시 양천구 오목로 313-2(12층 목동)
큰솥설렁탕,동작구,한식,37.506966,126.960566,서울특별시 동작구 흑석로 102(B101-2호 흑석동중대병원)
소문난개미,양천구,,37.522251,126.852792,서울특별시 양천구 중앙로46길 5(신정동)
